"Burke","Buyea","Cemetery","Garoga","Getman","Goff","Klinko","Long Point","Nichols Pond","Otsungo","Smith","Chaumont","Durham","Frank","Heath","Matteson","Morse","Mud Creek","Potaki","St Lawrence","Swarthout","Whitford","Lawson","Nott","Chicoutimi","Masson","Salem","Steward","Sugarbush","Summerstown","Boyle-Atkinson","Damiani","Draper","Dunsmore","Fournier","Hardrock","Hidden Springs","Jarrett-Lahmer","Joseph Picard","Keffer","Lite","O-M-G","Parsons","Payne","Quackenbush","Rumney Bay","Spang","Waupoos","Buffum","Atwell","Barnes","Belcher","Cayadutta","Cromwell","Ganada","Richmond Mills","Temperance House","Wormuth","Hanes","27VII","Cleary","Dawson","Glenbrook","Mailhot-Curran","Maynard-McKeown","Roebuck","Augoutenc","Aurora","Copeland","Coulter","Emmerson Springs","Goodeve","Kirche","Mantle","Seed-Barker","White","Woodbridge"
"Burke",200,130.745341614907,73.0978260869565,68.3927699071812,88.6473429951691,70.600414078675,74.1304347826087,58.5350182051831,93.3734939759036,95.3926022063595,103.816986855409,60.7622114868492,80.4592085979482,77.9083431257344,79.4071146245059,83.8164251207729,94.3518894758228,79.041248606466,59.9570585077832,72.2605486924435,90.7900888265545,84.8123883263847,39.3410132540567,39.1304347826087,61.3526570048309,67.3163418290854,93.0793687947413,72.0496894409938,93.8935026868588,80.2129547471162,52.1385648639095,49.6894409937888,48.1629200365923,47.8260869565217,58.357910760156,65.4080854309687,56.8605307735743,61.0957527016838,59.1074726700944,52.1235581991849,47.463768115942,73.9130434782609,62.4131721121688,78.2608695652174,63.0298058517911,79.1925465838509,40.8599567619505,78.4074255007328,68.6361947231512,118.937198067633,70.6896551724138,83.00395256917,98.7661574618096,77.9240661359461,63.8339920948617,85.1496329757199,115.217391304348,55.2709946396665,51.4492753623188,85.61872909699,74.611801242236,93.5905286793223,99.1831554282739,63.2411067193676,86.5371882586625,84.8826914563966,43.3857539315449,54.7826086956522,52.7299615498373,56.4079216936035,54.5150501672241,52.463768115942,54.513550399688,63.8619737750172,68.615449556775,73.4113712374582,72.6449275362319
"Buyea",130.745341614907,200,95.7142857142857,100.706260032103,83.3333333333333,68.5714285714286,38.5714285714286,32.4466338259442,120.022948938612,118.024164889837,91.1794019933555,49.3121693121693,62.8143392188336,54.3114543114543,79.0909090909091,52.8571428571429,99.3858477970628,43.2234432234432,66.5255731922398,50.3321033210332,59.6006144393241,80.2609262883235,27.5213675213675,26.6666666666667,34.2857142857143,77.6683087027915,91.6541690700506,52.3809523809524,76.0781166399144,60.3401360544218,33.7282229965157,42.7743271221532,34.2441277946164,37.8199834847234,46.4103365635094,37.4937343358396,36.969696969697,44.8609964216901,33.2316439779126,41.9626699756993,32.1428571428571,41.9047619047619,38.0952380952381,49.2517006802721,36.1545372866128,46.6666666666667,29.4290976058932,44.4943820224719,30.0854700854701,93.3333333333333,110.935960591133,44.1125541125541,89.5752895752896,62.2132796780684,96.4502164502164,46.0606060606061,97.8021978021978,90.3848662752772,26.6666666666667,80.5128205128205,68.452380952381,87.9678068410463,92.7024522383804,58.3625070581592,107.154943195552,97.3490166318851,34.9544072948328,31.6666666666667,39.7278911564626,37.2824731987036,33.2733932733933,35.8095238095238,38.4347640401452,36.8253968253968,30.0647249190939,41.996336996337,37.5793650793651
"Cemetery",73.0978260869565,95.7142857142857,200,92.9073033707865,45.8333333333333,52.0833333333333,33.75,21.7056650246305,150.527108433735,109.794776119403,78.4883720930233,56.0956790123457,66.7134831460674,50.3378378378378,86.5909090909091,57.6388888888889,103.154205607477,48.8782051282051,86.9598765432099,45.3182656826568,71.7069892473118,74.3150684931507,4.55840455840456,5.71428571428572,37.5,42.8879310344828,82.5426200089726,54.9603174603175,75.7022471910112,52.9761904761905,26.880081300813,26.1257763975155,23.8390263227397,21.7485549132948,38.3205689277899,32.0175438596491,22.8896103896104,34.9349710982659,27.2962112514351,26.2282844733985,25,33.75,36.5014792899408,32.6275510204082,28.7735849056604,39.2857142857143,12.8798342541436,51.2172284644195,14.7970085470085,94.3055555555556,110.775862068966,34.6590909090909,72.804054054054,61.6197183098592,107.386363636364,30.4383116883117,70.1923076923077,99.4006849315068,7.7651515151515,59.1346153846154,72.3214285714286,43.4565727699531,92.9640718562874,50.1482213438735,32.6459390862944,91.4840637450199,16.7553191489362,11.25,45.5187074829932,27.1269633507853,21.6346153846154,21.4166666666667,21.6928251121076,23.0396825396825,13.0461165048544,28.3653846153846,39.5833333333333
"Garoga",68.3927699071812,100.706260032103,92.9073033707865,200,106.05493133583,70.8400214018192,35.5992509363296,23.5549159609601,88.2902396101259,147.448152495947,108.198327671806,32.4178110694965,44.1947565543071,32.6956169652799,62.7340823970038,38.0149812734082,74.4723301480626,29.0982425813887,61.5619364683035,30.9202979670246,46.5869276307841,58.9451541737212,13.6784148020103,13.1086142322097,12.7340823970038,74.5576649877308,65.7326054410453,37.2213304797575,49.812734082397,35.3856149201254,17.3563533388143,21.036592458185,18.6661865906458,19.6704985819748,25.5517583327187,16.4794007490637,14.9569531592003,25.0113658504904,19.6695863809733,22.7138715042679,22.6279650436954,18.9794007490637,12.4193870088425,29.3006191240541,19.5039219843121,35.6340288924559,13.2120760651396,23.2209737827715,15.7303370786517,75.3558052434457,85.1737052821904,33.9121552604699,82.6196983500354,44.6642401223822,142.883895131086,43.2511308915803,54.7104580812446,152.74229131394,13.1426625808648,88.1590319792567,42.3421615837346,70.311758189587,50.1037251340016,48.6417669612589,79.0186125211506,43.2726024739991,18.742529285202,12.3595505617978,14.0258350531224,25.4563993960429,14.0331578533826,20.6441947565543,20.2045649216506,21.7435348671304,11.2359550561798,21.1754537597234,14.7627965043696
"Getman",88.6473429951691,83.3333333333333,45.8333333333333,106.05493133583,200,39.6825396825397,25.5555555555556,14.0667761357417,38.3534136546185,107.296849087894,96.1886304909561,21.604938271605,23.4082397003745,22.0720720720721,33.1313131313131,22.2222222222222,27.8296988577362,21.3675213675214,27.1604938271605,19.9671996719967,27.4193548387097,26.3318112633181,5.84045584045583,5.55555555555557,11.1111111111111,58.0459770114942,39.4496784806341,26.984126984127,23.9076154806492,18.7074829931973,8.80758807588077,15.4934437543133,12.2722070604807,10.4046242774567,22.1371261852662,11.1111111111111,12.0490620490621,18.6255619781631,8.31100905727772,14.404632645675,8.33333333333334,11.1111111111111,11.1111111111111,22.3809523809524,9.32914046121593,22.2222222222222,4.41988950276243,18.601747815231,5.55555555555557,40,29.1187739463602,17.9292929292929,49.3993993993994,47.4178403755868,92.6767676767677,28.3549783549784,24.3589743589744,77.0167427701674,5.55555555555554,78.2051282051282,24.0079365079365,71.2050078247261,22.3719228210246,37.9885814668423,114.297800338409,21.4032757857459,11.9385342789598,5.55555555555557,12.7437641723356,12.3618382780687,8.35275835275837,16.4444444444445,11.3851519681116,11.7777777777778,5.55555555555557,13.034188034188,11.1111111111111
"Goff",70.600414078675,68.5714285714286,52.0833333333333,70.8400214018192,39.6825396825397,200,105.238095238095,93.431855500821,69.5926563396443,65.5294953802417,79.6234772978959,96.8253968253968,81.5944355270198,95.8815958815959,119.82683982684,63.4920634920635,90.3426791277259,63.3699633699634,89.2416225749559,90.0896151818661,107.066052227343,117.351598173516,34.6357346357346,39.0476190476191,45.5026455026455,69.1297208538588,84.1633019291162,69.8412698412698,107.303370786517,97.2789115646259,57.7235772357724,39.3374741200828,40.4483124352831,65.8409028351225,50.0156298843389,63.4085213032582,44.5887445887446,54.1425818882466,71.100541249795,42.1953363321442,57.2222222222222,58.0952380952381,41.6173570019724,66.530612244898,81.8508535489668,90.4761904761905,30.9918442515128,67.0947030497592,41.8803418803419,97.1428571428571,58.2922824302135,103.896103896104,80.6949806949807,85.5801475519785,56.2770562770563,109.090909090909,82.051282051282,90.737116764514,37.8787878787879,74.7252747252747,105.357142857143,77.7330650570087,105.239520958084,83.9450404667796,61.8805897993715,83.4629735028141,38.7031408308004,41.4285714285714,48.2993197278911,54.7993019197208,45.9207459207459,53.5238095238095,45.440956651719,51.5555555555556,40.6148867313916,61.0805860805861,46.5277777777778
"Klinko",74.1304347826087,38.5714285714286,33.75,35.5992509363296,25.5555555555556,105.238095238095,200,120.394088669951,53.3734939759036,20.9701492537313,51.6279069767442,104.135802469136,79.1573033707865,112.027027027027,112.727272727273,101.666666666667,83.8317757009346,116.923076923077,91.4814814814815,113.394833948339,115.268817204301,127.671232876712,42.6923076923077,45.7142857142857,59.6296296296296,41.0344827586207,65.0336473755047,74.9206349206349,99.5505617977528,94.6258503401361,64.1463414634146,43.0434782608696,47.5191478123074,93.5838150289017,52.2866520787746,102.719298245614,48.1818181818182,56.0115606936416,83.7313432835821,44.9837133550488,77.2222222222222,90,57.2189349112426,78.265306122449,102.955974842767,109.285714285714,36.6298342541436,125.880149812734,82.991452991453,89.4444444444444,42.5862068965517,159.545454545455,56.2162162162162,71.9718309859155,21.8181818181818,147.337662337662,86.1538461538462,39.6575342465754,48.1818181818182,58.8461538461538,86.4285714285714,51.5962441314554,99.8203592814371,67.4110671936759,41.0406091370558,71.622399291722,47.7659574468085,50,49.5918367346939,57.2251308900524,52.3776223776224,53.6666666666667,51.3004484304933,61.2380952380952,67.8640776699029,75.3846153846154,70.9722222222222
"Long Point",58.5350182051831,32.4466338259442,21.7056650246305,23.5549159609601,14.0667761357417,93.431855500821,120.394088669951,200,43.9195204463173,8.92581427836188,40.1649673502119,94.2042206410023,70.3713953617092,114.765011316735,103.864755933721,81.0618500273673,75.8022190506883,88.493116079323,77.7169616250076,103.899078399651,98.1831664812755,108.165193332883,61.4163614163614,62.8571428571429,69.4763729246488,33.0049261083744,57.6356889811199,73.3990147783251,92.0628770686888,100.269763077645,64.6882133845969,38.6164060826729,46.3875566649912,71.3972493522025,47.8285239999569,83.769769250713,48.0967308553516,55.6337025541729,84.0435940796208,45.0711281554817,69.0831964969896,67.2167487684729,57.7608068324249,67.2484166080225,101.694705208043,97.0443349753695,37.1717061753259,84.4264865961883,60.7637573154815,72.9501915708812,36.4532019704434,128.381101656964,46.0258287844495,62.1105946020953,9.77384684281236,127.407075682938,69.571807502842,27.6131992712059,48.7236901030004,60.1364153088291,80.7266009852217,50.2601817803372,92.1650541281968,60.9708132946514,36.4582030956965,64.6530462714004,45.4354889424589,50.5418719211823,48.7731644381891,58.1667655327161,52.9194942988046,59.8752052545156,52.0665355983123,60.7640941434045,56.5856808073079,67.648730579765,64.0223043240285
"Nichols Pond",93.3734939759036,120.022948938612,150.527108433735,88.2902396101259,38.3534136546185,69.5926563396443,53.3734939759036,43.9195204463173,200,96.7811544686208,84.3163351078734,53.1905399375279,65.3580614593204,52.3607945294692,81.8729463307777,60.7764390896921,102.499718500169,48.5016991041088,73.4791015915514,48.1483128084293,67.0294079543982,77.9501567915498,25.9602512614561,27.4010327022375,31.3253012048193,52.7212297465725,79.7645494494803,50.4302925989673,71.9371869500474,57.8845996229817,40.1802331276325,32.9417047070269,36.6730059599256,39.5152865798454,42.0368563971422,38.5542168674699,32.999530589892,42.9834946723309,39.931943618331,36.8152305203441,42.0749665327979,40.9638554216868,33.7349397590361,41.8982050651586,44.7374403273471,55.249569707401,26.4594288757239,47.8678759983755,37.1537431778396,101.151271753681,134.358122143747,56.8729463307777,97.4275480299577,67.9110809434923,100.410733844469,58.394617430762,95.2734012974977,93.249711173461,30.4308141657539,50.0463392029657,62.2203098106713,40.7149725663216,87.5523050284972,53.3834944521168,48.3456669316861,94.5113788487282,33.1709817995386,32.2489959839357,35.6397016637981,39.7022645556046,34.8976324879939,36.144578313253,37.8842725160733,37.934595524957,29.9040823488128,40.9406858202039,36.5127175368139
"Otsungo",95.3926022063595,118.024164889837,109.794776119403,147.448152495947,107.296849087894,65.5294953802417,20.9701492537313,8.92581427836188,96.7811544686208,200,117.233599444637,17.3392297770407,34.4289787019956,22.1863654699476,52.0081411126187,29.6849087893864,69.4518063886177,12.5908916953693,48.2034273079049,16.3187751280498,35.419675814476,47.1887139644245,0.284900284900289,0,7.46268656716418,68.0391147709727,68.2402255211158,21.7484008528785,45.8577897031695,30.1198091176769,9.08870282732678,12.9229628256234,10.1254446142384,7.60935208351307,14.7228844834906,7.46268656716418,8.56755185113394,14.9771374342162,9.18484500574053,12.2503659768476,5.97014925373134,9.96268656716418,5.97014925373134,19.7075845263479,9.74373415939172,20.2558635394456,4.97237569060775,11.9570685896361,5.97014925373134,74.1293532338309,84.5084920226454,21.8792401628223,88.3017345703913,42.9262140004204,151.797829036635,25.4506687342508,55.6831228473019,131.915763647516,5.97014925373134,65.3272101033295,36.0341151385927,70.7588816480975,52.6443381892931,32.7591292549112,78.8468823395712,46.5276538951986,6.38297872340425,4.47761194029852,7.87491115849326,12.2528717668204,7.46268656716418,8.63681592039802,11.1270999263771,11.8114190950012,4.47761194029852,13.231917336395,7.46268656716418
